School_ID,Short_Name,Year,Rating_Status,Graduation_Rate_School,School_Type,College_Enrollment_Rate_School,Dimension_1,Dimension_2
609853,CHASE,2016-2017,Good Standing,,Neighborhood,,-0.15525275438425917,-0.5014309244262013
610203,TONTI,2016-2017,Good Standing,,Neighborhood,,2.153066112150821,-1.5717404659686072
609851,CHALMERS,2016-2017,Intensive Support,,Neighborhood,,-0.9612158736048853,0.8463187111564815
610282,MCNAIR,2016-2017,Intensive Support,,Neighborhood,,-0.8239402428047256,0.7171217175856606
610293,MELODY,2016-2017,Provisional Support,,Neighborhood,,-0.6878655909380685,1.1450608366685089
610044,LOWELL,2016-2017,Good Standing,,Neighborhood,,-0.1840330819325648,-0.27300813951071734
610357,SPRY HS,2016-2017,Good Standing,91.2,Neighborhood,47.2,-1.2407437384084774,0.10177695638447547
610291,LEE,2016-2017,Good Standing,,Neighborhood,,1.557566496803123,-1.29803129149946
609722,MANLEY HS,2016-2017,Intensive Support,57.9,Neighborhood,35.9,-2.719399923500924,-2.1035316372028796
609983,HEDGES,2016-2017,Provisional Support,,Neighborhood,,0.7170110651976074,-0.9434181752823994
609715,KELLY HS,2016-2017,Good Standing,77.8,Neighborhood,55.1,6.292379991533514,-2.6560695777755448
609949,GRAY,2016-2017,Good Standing,,Neighborhood,,2.646926987523214,-1.5700870429445661
609895,TURNER-DREW,2016-2017,Good Standing,,Magnet,,-1.2025366234734949,0.6675870872612155
610083,BEARD,2016-2017,Good Standing,,Special Education,,-1.0723393403423738,0.00583104894657523
610340,CHICAGO ACADEMY HS,2016-2017,Good Standing,85.4,Small,80.4,1.2580813062880172,1.4080818988280908
610012,JENNER,2016-2017,Intensive Support,,Neighborhood,,-1.2701981319802702,0.6345234933356827
609990,SOUTH LOOP,2016-2017,Good Standing,,Regional gifted center,,0.38054632872335814,0.8567100478314212
609941,RANDOLPH,2016-2017,Provisional Support,,Magnet,,-0.5743552646598553,1.0644833087532206
610066,MCDADE,2016-2017,Good Standing,,Classical,,-1.3981337518369212,0.5416418381260522
610122,PEIRCE,2016-2017,Good Standing,,Neighborhood,,1.7582822622718888,-0.46711598503994933
609870,CORKERY,2016-2017,Good Standing,,Neighborhood,,0.09852132633794963,-0.4234763756212225
610226,SANDOVAL,2016-2017,Good Standing,,Neighborhood,,1.8356052048025908,-1.451904885967725
609865,JORDAN,2016-2017,Provisional Support,,Neighborhood,,-0.10767472711244691,-0.07641848330872295
610533,PRIETO,2016-2017,Good Standing,,Neighborhood,,2.015903664910721,-1.4728963695023298
610019,KERSHAW,2016-2017,Good Standing,,Magnet,,-1.1145467260723594,0.6704964660904273
609986,HENDERSON,2016-2017,Intensive Support,,Neighborhood,,-1.1681465518408303,0.5875159913932215
610100,WEST PARK,2016-2017,Good Standing,,Neighborhood,,0.3202206469086651,-0.34749130153267294
610541,LORCA,2016-2017,Good Standing,,Neighborhood,,1.46341022401079,-1.2226543989827574
609859,CLINTON,2016-2017,Good Standing,,Neighborhood,,3.86176886227939,-0.13042451369793143
610394,UPLIFT HS,2016-2017,Good Standing,74.3,Small,65.4,-0.8678063830616977,0.696948855784133
609695,AMUNDSEN HS,2016-2017,Good Standing,82.8,Neighborhood,54.4,3.1174666722226734,-0.748672001598851
610128,GARVEY,2016-2017,Good Standing,,Neighborhood,,-1.1617577731570705,0.6397758123010222
610269,MCCUTCHEON,2016-2017,Good Standing,,Neighborhood,,-0.4285330657112784,0.31157602518870764
610065,TILL,2016-2017,Intensive Support,,Neighborhood,,-1.0273344688722883,0.8511785339260062
610063,MCCORMICK,2016-2017,Good Standing,,Neighborhood,,0.9660051518329236,-1.0928365914368015
609894,DRAKE,2016-2017,Intensive Support,,Neighborhood,,-1.0457639566222663,0.8011638421839785
610133,WARD L,2016-2017,Good Standing,,Neighborhood,,-0.5905836426884413,0.9875650057880945
610287,ASHBURN,2016-2017,Good Standing,,Small,,-0.5082846101823888,1.004310782415278
609755,YOUNG HS,2016-2017,Good Standing,96.2,Selective enrollment,85.2,6.8985712974605615,2.8940368440153996
609977,WOODLAWN,2016-2017,Good Standing,,Small,,-1.24237630583868,0.5813179320099768
610107,OTIS,2016-2017,Good Standing,,Neighborhood,,-0.16955454772776352,-0.20088012082085607
400022,CHIARTS HS,2016-2017,Good Standing,81.1,Contract,79.6,0.8408437691675074,1.7612304151602967
610299,KING ES,2016-2017,Provisional Support,,Neighborhood,,-1.2728046577804848,0.6706161565335127
610143,REAVIS,2016-2017,Provisional Support,,Neighborhood,,-1.2291197903799536,0.6993546106324509
609861,CLISSOLD,2016-2017,Good Standing,,Neighborhood,,-0.47798980579333833,0.7918322100326146
610284,NEW FIELD,2016-2017,Good Standing,,Neighborhood,,0.7132411018206075,0.02888993853158785
610016,KELLOGG,2016-2017,Good Standing,,Neighborhood,,-1.2407178988819763,0.6062047011464298
610105,ORIOLE PARK,2016-2017,Good Standing,,Neighborhood,,0.9461178541598134,-0.08739219574054706
610342,SABIN,2016-2017,Good Standing,,Magnet,,0.28920540946120155,-0.3193649078543937
610345,WOODSON,2016-2017,Intensive Support,,Neighborhood,,-1.0680720109003607,0.7578829417262061
610104,ONAHAN,2016-2017,Good Standing,,Neighborhood,,0.576468882522197,-0.20553263206481043
609730,SENN HS,2016-2017,Good Standing,81.3,Neighborhood,59.4,3.9160505342570606,0.14359765706827485
609751,KING HS,2016-2017,Good Standing,89.4,Selective enrollment,82.1,0.7612457666747192,3.38430800734832
610082,MOUNT GREENWOOD,2016-2017,Good Standing,,Neighborhood,,2.066271607709109,-0.10330859128647528
610230,WILDWOOD,2016-2017,Good Standing,,Magnet,,-0.08555942496972799,0.04544902118945776
610043,LOVETT,2016-2017,Good Standing,,Neighborhood,,-0.788904004981867,0.7452809705525065
609798,BELDING,2016-2017,Good Standing,,Neighborhood,,0.39156022765444953,-0.29154810916636
609759,CLEMENTE HS,2016-2017,Provisional Support,83.5,Neighborhood,43.3,0.47522203444731637,-0.767407442957004
610199,COLEMON,2016-2017,Good Standing,,Neighborhood,,-1.142691281104813,0.6132599807952015
610565,CAMELOT - EXCEL ENGLEWOOD HS,2016-2017,Good Standing,,Citywide-Option,7.8,-2.739166547599308,-2.165638377503304
609973,ZAPATA,2016-2017,Good Standing,,Neighborhood,,1.1924421562181242,-1.1986200643537566
610234,YATES,2016-2017,Good Standing,,Neighborhood,,-0.22283521747216817,-0.2904445529279031
610188,DUNNE,2016-2017,Good Standing,,Neighborhood,,-1.1755947926653636,0.6773076468957112
610192,STOWE,2016-2017,Provisional Support,,Neighborhood,,0.6868758954554788,-0.7940958237368437
609967,FINKL,2016-2017,Provisional Support,,Neighborhood,,-0.5359091090375587,-0.245174767403688
609761,CORLISS HS,2016-2017,Intensive Support,62.6,Neighborhood,34.4,-2.1837204733846662,-1.5083633359171764
609789,BARRY,2016-2017,Good Standing,,Neighborhood,,0.9311931101861705,-1.0004367386836377
610185,STEVENSON,2016-2017,Good Standing,,Neighborhood,,2.8414139541637935,-1.663098230435647
610515,DISNEY II ES,2016-2017,Good Standing,,Magnet,,-0.4081614324031,-0.03194260856296903
609880,DECATUR,2016-2017,Good Standing,,Classical,,-0.6685803231687286,0.1457474288551075
609727,PHILLIPS HS,2016-2017,Intensive Support,57.9,Neighborhood,55.4,-0.7853618891669392,0.0839209734052766
609845,CARVER G,2016-2017,Intensive Support,,Neighborhood,,-0.6904136513195631,1.139491178326416
609783,JEFFERSON HS,2016-2017,Good Standing,1.3,Citywide-Option,,-3.050201245511406,-4.329344846652405
610152,RUGGLES,2016-2017,Good Standing,,Neighborhood,,-0.7340481378972965,0.9790868948904659
609995,HITCH,2016-2017,Good Standing,,Neighborhood,,0.42286799520745644,-0.31624174005480915
609952,GREENE,2016-2017,Provisional Support,,Neighborhood,,0.07588273099701867,-0.59560841054383
610103,OKEEFFE,2016-2017,Intensive Support,,Neighborhood,,-0.2701260485310307,1.444482209826732
609862,COLES,2016-2017,Good Standing,,Neighborhood,,-0.7100883261704123,1.0124506770548911
609678,JONES HS,2016-2017,Good Standing,91.8,Selective enrollment,87.3,5.900388934598999,2.3954655143109895
610131,PLAMONDON,2016-2017,Provisional Support,,Neighborhood,,-1.3581062168063476,0.09461538959477118
609682,RICHARDS HS,2016-2017,Intensive Support,71.7,Neighborhood,47.4,-1.5967441897150676,-0.878440222256234
610250,SALAZAR,2016-2017,Good Standing,,Small,,-0.6251071439949515,0.011255373586198925
610354,NORTH RIVER,2016-2017,Good Standing,,Small,,-0.5227370568121514,-0.35437348821913073
609856,CLAY,2016-2017,Good Standing,,Neighborhood,,0.46086376006803,-0.548535999980484
610033,LASALLE,2016-2017,Good Standing,,Magnet,,-0.10164878775587628,0.34401352717771594
610347,CLAREMONT,2016-2017,Good Standing,,Neighborhood,,-0.6000409149063176,0.7388151723919629
609774,ALCOTT ES,2016-2017,Good Standing,,Neighborhood,,0.27735468901073396,0.10162250510715014
609793,NICHOLSON,2016-2017,Provisional Support,,Neighborhood,,-0.6896737870771049,1.0733631686951364
609899,EBINGER,2016-2017,Good Standing,,Neighborhood,,1.1096961997657953,-0.04412448894790033
